"","Date of Final Decision","Submission Number","Device","Company","Panel (Lead)","Primary Product Code"
"474","02/04/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212654"", ""K212654"")","Micro C Medical Imaging System, M01","OXOS Medical, Inc.","Radiology","IZL"
"475","02/04/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213938"", ""K213938"")","Revolution Ascend","GE Healthcare Japan Corporation","Radiology","JAK"
"476","02/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213165"", ""K213165"")","Rapid","iSchema View Inc.","Radiology","LLZ"
"477","02/18/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213319"", ""K213319"")","Viz ANEURYSM, Viz ANX","Viz.ai, Inc.","Radiology","QFM"
"478","02/18/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213999"", ""K213999"")","Deep Learning Image Reconstruction","GE Medical Systems","Radiology","JAK"
"479","02/24/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213941"", ""K213941"")","Annalise Enterprise CXR Triage Pneumothorax","Annalise-AI","Radiology","QFM"
"480","02/25/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213693"", ""K213693"")","MAGNETOM Vida with syngo MR XA50A","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"481","03/01/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212365"", ""K212365"")","BoneView","Gleamer","Radiology","QBS"
"482","03/04/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210365"", ""K210365"")","Second Opinion","Pearl Inc.","Radiology","MYN"
"483","03/10/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213566"", ""K213566"")","ClearRead Xray Pneumothorax","Riverain Technologies, Inc.","Radiology","QFM"
"484","03/11/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213725"", ""K213725"")","CardIQ Suite","GE Medical Systems SCS","Radiology","JAK"
"485","03/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203744"", ""K203744"")","Arterys MICA","Arterys Inc.","Radiology","QIH"
"486","03/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K214043"", ""K214043"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QFM"
"487","03/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213779"", ""K213779"")","Customize","3D-Side SA","Radiology","QIH"
"488","03/21/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213721"", ""K213721"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"489","03/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212960"", ""K212960"")","Aplio a550, Aplio a450, and Aplio a, Diagnostic Ultrasound System, Software V6.5","Canon Medical Systems Corporation","Radiology","IYN"
"490","03/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K200828"", ""K200828"")","Athelas Home","Athelas Inc.","Hematology","GKZ"
"491","04/01/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213657"", ""K213657"")","DEEPVESSEL FFR","KeyaMed NA Inc.","Cardiovascular","PJA"
"492","04/01/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220151"", ""K220151"")","MAGNETOM Avanto Fit","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"493","04/04/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212624"", ""K212624"")","EFAI Intelligent Cardiothoracic Ratio (iCTR) Assessment System","Ever Fortune. AI Co., Ltd.","Radiology","QIH"
"494","04/05/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K214081"", ""K214081"")","MRCAT Head & Neck","Philips Oy","Radiology","MUJ"
"495","04/05/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220043"", ""K220043"")","HERA W10 Diagnostic Ultrasound System, HERA W9 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"496","04/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K203783"", ""K203783"")","ClariPulmo","ClariPi Inc.","Radiology","LLZ"
"497","04/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212274"", ""K212274"")","INT Contour","Carina Medical LLC","Radiology","MUJ"
"498","04/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220192"", ""K220192"")","Vantage Galan 3T, MRT-3020, V8.0 with AiCE Reconstruction Processing Unit for MR","Canon Medical Systems Corporation","Radiology","LNH"
"499","04/15/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213706"", ""K213706"")","AI-Rad Companion Brain MR","Siemens Healthcare GmBh","Radiology","QIH"
"500","04/15/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220141"", ""K220141"")","RayStation 11B","RaySearch Laboratories AB (publ)","Radiology","MUJ"
"501","04/21/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213795"", ""K213795"")","Videa Caries Assist","VideaHealth, Inc","Radiology","MYN"
"502","04/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213944"", ""K213944"")","HealthOST","NanoxAI Ltd.","Radiology","JAK"
"503","04/26/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212662"", ""K212662"")","AliveCor QT Service","AliveCor, Inc.","Cardiovascular","DQK"
"504","04/26/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213886"", ""K213886"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"505","04/27/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212441"", ""K212441"")","Philips Incisive CT","Philips Healthcare (Suzhou) Co., Ltd.","Radiology","JAK"
"506","04/28/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220264"", ""K220264"")","EFAI RTSuite CT HN-Segmentation System","Ever Fortune.AI Co., Ltd.","Radiology","QKB"
"507","04/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220590"", ""K220590"")","aPROMISE X","EXINI Diagnostics AB","Radiology","LLZ"
"508","04/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220939"", ""K220939"")","MAGNETOM Lumina and MAGNETOM Vida Fit with syngo MR XA50A","Siemens Medical Solutions USA Inc.","Radiology","LNH"
"509","04/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220899"", ""K220899"")","Oxehealth Vital Signs","Oxehealth Limited","Cardiovascular","QME"
"510","05/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212915"", ""K212915"")","MVision AI Segmentation","MVision AI","Radiology","QKB"
"511","05/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220013"", ""K220013"")","X100HT with Slide Loader with Full Field Peripheral Blood Smear (PBS) Application","Scopio Labs Ltd.","Hematology","JOY"
"512","05/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211966"", ""K211966"")","Segment 3DPrint","Medviso AB","Radiology","LLZ"
"513","05/10/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212519"", ""K212519"")","Overjet Caries Assist","Overjet, Inc.","Radiology","MYN"
"514","05/11/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220446"", ""K220446"")","Versana Balance","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"515","05/12/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220105"", ""K220105"")","Saige-Dx","DeepHealth, Inc.","Radiology","QDQ"
"516","05/13/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221106"", ""K221106"")","Quantib Prostate","Quantib BV","Radiology","LLZ"
"517","05/13/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220589"", ""K220589"")","MAGNETOM Skyra Fit","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"518","05/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213583"", ""K213583"")","Achieva, Ingenia, Ingenia CX, Ingenia Elition and Ingenia Ambition MR Systems","Philips Medical Systems Nederland B.V.","Radiology","LNH"
"519","05/17/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220499"", ""K220499"")","Rapid PE Triage and Notification (PETN)","iSchemaView Inc.","Radiology","QAS"
"520","05/17/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221219"", ""K221219"")","syngo.CT CaScoring","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"521","05/17/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221240"", ""K221240"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"522","05/25/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220416"", ""K220416"")","SwiftMR","AIRS Medical Inc.","Radiology","LLZ"
"523","05/31/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220766"", ""K220766"")","eMurmur Heart AI","CSD Labs GmbH","Cardiovascular","DQD"
"524","05/31/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221248"", ""K221248"")","Rapid LVO","iSchemaView, Inc.","Radiology","QAS"
"525","06/02/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220164"", ""K220164"")","Rayvolve","AZmed SAS","Radiology","QBS"
"526","06/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213971"", ""K213971"")","Atrial Fibrillation History Feature","Apple Inc.","Cardiovascular","QDB"
"527","06/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221314"", ""K221314"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"528","06/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220358"", ""K220358"")","Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"529","06/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213717"", ""K213717"")","AIR Recon DL","GE Medical Systems,LLC (GE Healthcare)","Radiology","LNH"
"530","06/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213882"", ""K213882"")","EarliPoint System","EarliTec Diagnostics, Inc.","Neurology","QPF"
"531","06/10/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221393"", ""K221393"")","Swoop Portable MR Imaging System","Hyperfine, Inc.","Radiology","LNH"
"532","06/16/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213504"", ""K213504"")","Aquilion ONE (TSX-306A/3) V10.12 with Spectral Imaging System, Vitrea Software Package, VSTP-001A","Canon Medical Systems Corporation","Radiology","JAK"
"533","06/17/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213037"", ""K213037"")","IDx-DR v2.3","Digital Diagnostics Inc.","Ophthalmic","PIB"
"534","06/17/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220813"", ""K220813"")","ART-PLAN","TheraPanacea","Radiology","QKB"
"535","06/17/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221463"", ""K221463"")","ElucidVivo A.3","Elucid Bioimaging Inc.","Radiology","LLZ"
"536","06/21/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220800"", ""K220800"")","Venue Go","GE Medical Systems Ultrasound and Primary Care Diagnostics","Radiology","IYN"
"537","06/23/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220497"", ""K220497"")","CoLumbo","Smart Soft Healthcare AD","Radiology","QIH"
"538","06/24/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220575"", ""K220575"")","MAGNETOM Free.Max, MAGNETOM Free.Star","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"539","06/27/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220848"", ""K220848"")","Venue Fit","GE Medical Systems","Radiology","IYN"
"540","06/27/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220851"", ""K220851"")","Venue","GE Medical Systems","Radiology","IYN"
"541","06/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213794"", ""K213794"")","Eko Murmur Analysis Software (EMAS)","Eko Devices, Inc.","Cardiovascular","DQD"
"542","06/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220975"", ""K220975"")","V8 Diagnostic Ultrasound System, V7 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"543","07/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210069"", ""K210069"")","Minuteful - kidney test","Healthy.io Ltd.","Clinical Chemistry","JIR"
"544","07/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K212783"", ""K212783"")","ProstatID","ScanMed, LLC","Radiology","QDQ"
"545","07/13/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221727"", ""K221727"")","syngo.CT Extended Functionality","Siemens Medical Solutions USA, Inc.","Radiology","JAK"
"546","07/14/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221203"", ""K221203"")","AHI System","Fifth Eye Inc.","Cardiovascular","QNV"
"547","07/15/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220619"", ""K220619"")","Vivid S60N, Vivid S70N","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"548","07/18/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221147"", ""K221147"")","Vivid T8, Vivid T9","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","IYN"
"549","07/18/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221148"", ""K221148"")","Vivid iq","GE Medical Systems Ultrasound & Primary Care Diagnostics LLC","Radiology","IYN"
"550","07/19/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213357"", ""K213357"")","Study Watch with Irregular Pulse Monitor (Home), Study Watch with Irregular Pulse Monitor","Verily Life Sciences LLC","Cardiovascular","DXH"
"551","07/19/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213409"", ""K213409"")","ZEUS System (Zio Watch)","iRhythm Technologies, Inc.","Cardiovascular","DQK"
"552","07/19/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220815"", ""K220815"")","BrainInsight","Hyperfine, Inc.","Radiology","QIH"
"553","07/20/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220956"", ""K220956"")","Libby Echo:Prio","Dyad Medical, Inc","Radiology","QIH"
"554","07/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220624"", ""K220624"")","AI4CMR v1.0","AI4MedImaging Medical Solutions S.A.","Radiology","LLZ"
"555","07/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220882"", ""K220882"")","Vivid E80, Vivid E90, Vivid E95","GE Medical Systems Ultrasound and","Radiology","IYN"
"556","07/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220940"", ""K220940"")","EchoPAC Software Only, EchoPAC Plug-in","GE Medical Systems Ultrasound and Primary Care Diagnostics,","Radiology","QIH"
"557","07/25/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220439"", ""K220439"")","Viz SDH","Viz.ai, Inc.","Radiology","QAS"
"558","07/27/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K210822"", ""K210822"")","DeepRhythmAI","Medicalgorithmics S.A.","Cardiovascular","DQK"
"559","07/28/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213998"", ""K213998"")","cvi42 Auto Imaging Software Application","Circle Cardiovascular Imaging Inc","Radiology","QIH"
"560","07/28/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221923"", ""K221923"")","Swoop Portable MR Imaging System","Hyperfine, Inc.","Radiology","LNH"
"561","07/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213760"", ""K213760"")","ABMD Software","HeartLung Corporation","Radiology","KGI"
"562","07/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220961"", ""K220961"")","Deep Learning Image Reconstruction","GE Healthcare Japan Corporation","Radiology","JAK"
"563","08/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221347"", ""K221347"")","Transpara 1.7.2","ScreenPoint Medical B.V.","Radiology","QKB"
"564","08/03/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221432"", ""K221432"")","Customize","3D-Side SA","Radiology","QIH"
"565","08/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213645"", ""K213645"")","ClearPoint Maestro Brain Model","ClearPoint Neuro, Inc.","Radiology","QIH"
"566","08/11/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213713"", ""K213713"")","AI-Rad Companion (Pulmonary)","Siemens Healthcare GmBh","Radiology","JAK"
"567","08/12/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213686"", ""K213686"")","SKOUT Software","Iterative Scopes Inc","Gastroenterology-Urology","QNP"
"568","08/12/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220349"", ""K220349"")","TeraRecon Neuro","TeraRecon, Inc","Radiology","LLZ"
"569","08/19/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222172"", ""K222172"")","MI View&GO","Siemens Medical Solutions USA, Inc.","Radiology","QIH"
"570","08/22/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221599"", ""K221599"")","HS40 Diagnostic Ultrasound System","Samsung Medison Co., Ltd.","Radiology","IYN"
"571","08/24/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220598"", ""K220598"")","AutoContour Model RADAC V2","Radformation, Inc.","Radiology","QKB"
"572","08/25/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221962"", ""K221962"")","LINQ II Insertable Cardiac Monitor","Medtronic, Inc.","Cardiovascular","MXD"
"573","08/25/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211841"", ""K211841"")","MRI Planner","Spectronic Medical AB","Radiology","MUJ"
"574","08/26/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222277"", ""K222277"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"575","08/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221100"", ""K221100"")","Viz RV/LV","Viz.Ai, Inc.","Radiology","QIH"
"576","09/01/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221241"", ""K221241"")","DrAid for Radiology v1","VinBrain Joint Stock Company","Radiology","QFM"
"577","09/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213960"", ""K213960"")","LiverMultiScan v5 (LMSv5)","Perspectum","Radiology","LNH"
"578","09/07/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220783"", ""K220783"")","syngo.via RT Image Suite","Siemens Medical Solutions USA Inc.","Radiology","MUJ"
"579","09/08/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222076"", ""K222076"")","EFAI ChestSuite XR Pleural Effusion Assessment System","Ever Fortune.AI Co., Ltd.","Radiology","QFM"
"580","09/12/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220986"", ""K220986"")","Aquilion Precision (TSX-304A/4) V10.10 with AiCE","Canon Medical Systems Corporation","Radiology","JAK"
"581","09/12/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221456"", ""K221456"")","Rapid ICH","iSchemaView Inc.","Radiology","QAS"
"582","09/13/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221733"", ""K221733"")","MAGNETOM Sola, MAGNETOM Altea, MAGNETOM Sola Fit","Siemens Medical Solutions USA, Inc.","Radiology","LNH"
"583","09/20/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K213353"", ""K213353"")","Aorta-CAD","Imagen Technologies, Inc.","Radiology","MYN"
"584","09/21/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221179"", ""K221179"")","SomnoMetry","Neumetry Medical Inc","Neurology","OLZ"
"585","09/27/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221738"", ""K221738"")","NS-HGlio","Neosoma Inc.","Radiology","QIH"
"586","09/28/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K222329"", ""K222329"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
"587","09/29/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220080"", ""K220080"")","CogNet QmTRIAGE","MedCognetics, Inc.","Radiology","QFM"
"588","09/30/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K211611"", ""K211611"")","QIR Suite","CASIS Cardiac Simulation & Imaging Software","Radiology","QIH"
"589","10/05/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221892"", ""K221892"")","VISIONAIR","PacificMD Biotech Llc","Ear Nose & Throat","BXQ"
"590","10/06/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K221449"", ""K221449"")","Genius AI Detection 2.0","Hologic, Inc.","Radiology","QDQ"
"591","10/07/2022","HYPERLINK(""https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K220709"", ""K220709"")","BriefCase","Aidoc Medical, Ltd.","Radiology","QAS"
